Palabra,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas
ojos,94,161,101
tan,92,78,187
si,92,159,257
vez,66,119,128
casi,55,0,0
podía,55,0,118
tiempo,47,80,69
aquel,46,0,0
casa,44,156,86
ser,44,0,139
madre,44,0,0
hacia,43,0,0
cuerpo,42,63,0
aunque,42,0,0
manos,41,0,82
hacía,41,0,0
Olga,41,0,0
ahora,40,0,115
aquella,40,0,0
mientras,39,61,0
sol,39,0,0
parecía,39,0,0
voz,38,133,0
hizo,37,59,87
cara,35,73,0
dos,34,105,64
después,34,0,76
momento,34,0,0
sentía,34,0,0
siempre,33,69,89
así,33,0,0
cuenta,33,0,0
nunca,33,0,0
quería,31,0,0
mirada,31,0,0
noche,30,128,0
quedó,29,0,0
luego,28,0,0
hacer,27,0,87
cabeza,27,0,0
apenas,27,0,0
toda,27,0,0
dijo,27,65,0
Mariana,27,0,0
dio,26,0,0
pareció,26,0,0
sé,26,0,0
mano,26,0,0
luz,26,69,0
mismo,25,0,0
general,0,165,0
IsabelE,0,143,0
JuliaE,0,143,0
palabras,0,128,0
FranciscoRosasEFranciscoRosasERosas,0,109,0
miró,0,107,0
puerta,0,94,0
joven,0,94,0
volvió,0,88,0
CoronaE,0,88,0
frente,0,82,0
día,0,81,62
mujeres,0,81,77
días,0,78,0
ver,0,78,0
cuarto,0,75,0
NicolásMoncadaElásMoncada,0,72,0
salió,0,72,0
hombre,0,70,73
calle,0,69,0
hombres,0,69,0
mañana,0,64,0
señora,0,62,0
FranciscoRosasERosas,0,62,0
soldados,0,61,0
Ixtepec,0,60,0
señor,0,60,0
HurtadoE,0,58,0
MatildeE,0,57,0
decir,0,57,0
mundo,0,56,0
vida,0,56,0
vio,0,55,0
memoria,0,54,0
CatalinaDíazPuiljáR,0,0,221
UlloaR,0,0,178
LaAlazanaR,0,0,168
Idolina,0,0,151
WiniktónR,0,0,146
Ciudad,0,0,144
iba,0,0,139
usted,0,0,136
padre,0,0,126
indios,0,0,124
ManuelMandujanoR,0,0,109
LeonardoCifuentesR,0,0,108
sino,0,0,107
cada,0,0,102
sido,0,0,96
IsabelZebadúaR,0,0,96
bien,0,0,90
mujer,0,0,87
MarcelaGómezOsoR,0,0,82
don,0,0,80
San,0,0,76
tal,0,0,76
va,0,0,71
XawR,0,0,71
CésarCésarSantiagoR,0,0,66
demás,0,0,65
gente,0,0,65
Real,0,0,64
Si,0,0,62
pronto,0,0,62
TeresaTeresaEntzínR,0,0,61
menos,0,0,58
