,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
señal,2,2,8,NOUN
francisco,1,5,,PROPN
abuelo,1,2,,PROPN NOUN
estío,1,,,PROPN
sentada,2,20,4,ADJ
silla,4,21,7,NOUN
extensión,1,,3,NOUN
sombra,7,11,11,NOUN
mirando,20,37,9,VERB
románi,4,,,NOUN
julioi,1,,,PROPN
practicar,1,,,VERB
poca,1,,2,ADV DET
empezaba,5,7,5,VERB
hacer,27,53,87,VERB
bastante,1,2,7,ADV
calor,14,25,5,NOUN
calma,5,2,1,NOUN VERB
extendía,2,1,3,VERB
si,104,181,319,SCONJ
va,2,1,1,AUX
calentar,1,,1,VERB
acuerdo,3,3,2,NOUN
perfecto,2,3,,ADJ
dejaron,4,9,11,VERB
atrapó,1,1,,VERB
bola,1,,2,PROPN NOUN
aire,24,11,29,NOUN
puso,18,32,37,VERB
bajo,18,3,10,ADP
crujir,2,,,NOUN
grava,2,,,ADJ
pies,14,17,10,NOUN
acercando,1,4,,VERB
mientras,23,63,10,SCONJ
llenaba,3,5,7,VERB
ahí,10,10,8,ADV
ahora,54,59,164,ADV
daba,23,23,30,VERB
gusto,8,1,2,NOUN
jugaban,2,1,2,VERB
pensando,5,5,4,VERB
empleado,1,,1,VERB ADJ
tiempo,31,55,61,NOUN
cuatro,7,20,5,NUM
puesto,1,1,1,ADJ
conmigo,4,2,1,PRON PROPN
riendo,3,2,3,VERB
dio,28,50,40,VERB
creo,7,6,3,VERB
años,19,28,1,NOUN
realmente,3,2,1,ADV
podría,9,2,28,AUX
usted,5,51,145,PRON
tan,64,80,99,ADV
reímos,1,,,VERB
mismo,5,1,1,DET ADV
muchacho,2,1,2,NOUN ADJ
bajó,4,11,5,VERB
cara,2,36,6,NOUN
aplicó,1,,3,VERB
presionarse,1,,,VERB
lado,4,4,5,NOUN
nariz,2,2,1,NOUN
índice,2,,2,VERB NOUN
aquel,51,1,43,DET
gesto,6,2,27,NOUN
paz,2,1,5,NOUN
hago,2,,,VERB
tabique,1,,,NOUN
vas,7,2,6,AUX
hablaba,17,20,13,VERB
molestando,1,,,VERB
repitió,2,8,4,VERB
todavía,11,35,33,ADV
vez,30,3,1,NOUN
dos,34,106,66,NUM
cabeza,5,16,15,NOUN
luego,41,71,46,ADV
decir,5,16,1,VERB NOUN
