,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
si,104,181,319,SCONJ
miró,23,120,10,VERB
dos,34,106,66,NUM
volvió,26,98,61,VERB
después,52,81,124,ADV
tan,64,80,99,ADV
ver,25,78,42,VERB
días,19,78,22,NOUN
nunca,41,75,60,ADV
salió,11,75,9,VERB
siempre,36,74,102,ADV
sólo,27,71,88,ADV
luego,41,71,46,ADV
dijo,27,68,31,VERB
mientras,23,63,10,SCONJ
vio,9,63,26,VERB
hizo,38,59,93,VERB
ahora,54,59,164,ADV
quería,36,58,64,VERB
parecía,46,58,35,VERB
conchitae,,58,,PROPN
día,20,56,62,NOUN
tiempo,31,55,61,NOUN
hacia,43,53,51,ADP
hacer,27,53,87,VERB
lugar,15,52,8,NOUN
cariño,,52,1,NOUN
tarde,2,52,12,ADV
dejó,15,51,25,VERB
quedó,29,51,25,VERB
llegó,13,51,20,VERB
usted,5,51,145,PRON
podía,13,50,119,AUX
sintió,18,50,22,VERB
miraron,4,50,9,VERB
dio,28,50,40,VERB
pueblo,3,49,13,NOUN
sabía,27,48,39,VERB
acercó,9,48,8,VERB
miraba,20,47,18,VERB
voz,1,46,12,NOUN
allí,11,46,73,ADV
detrás,7,44,13,ADV
oyó,5,43,7,VERB
miedo,4,42,19,NOUN
aquí,8,42,56,ADV
cada,20,41,117,DET
hacía,49,40,47,VERB
pareció,27,40,13,VERB
palabras,18,40,15,NOUN
llegar,5,39,18,VERB
calles,2,39,16,NOUN
tres,15,38,9,NUM
mirando,20,37,9,VERB
horas,11,37,15,NOUN
entró,11,37,11,VERB
padre,13,36,125,NOUN
cara,2,36,6,NOUN
así,40,36,75,ADV
apenas,30,36,19,ADV
gregoriae,,36,,PROPN
todavía,11,35,33,ADV
cerca,16,35,10,ADV
anamoncadae,,35,,PROPN
seguía,14,35,22,VERB
cómo,20,35,53,PRON
sombras,1,34,6,NOUN
nombre,9,34,14,NOUN
traje,10,34,5,NOUN
trató,,34,5,VERB
pasos,14,34,17,NOUN
llegaron,3,33,10,VERB
esperaba,9,33,14,VERB
pasar,11,32,15,VERB
puso,18,32,37,VERB
caer,8,32,33,VERB
rostro,12,32,15,NOUN
salir,12,32,20,VERB
primera,16,32,49,ADJ
encontró,9,31,11,VERB
dar,8,31,56,VERB
ser,44,31,140,AUX
señor,4,31,5,NOUN
presencia,15,30,3,NOUN
dirigió,3,29,6,VERB
mano,3,29,11,NOUN
comandancia,,29,,NOUN
dejaba,10,29,13,VERB
sentía,34,29,22,VERB
llevaba,7,29,9,VERB
veía,14,28,18,VERB
años,19,28,1,NOUN
siguió,14,28,9,VERB
llegaba,3,28,11,VERB
orden,2,28,14,NOUN
muros,,28,2,NOUN
carmenarrietae,,28,,PROPN
quedaron,2,27,6,VERB
éste,1,27,1,PRON
abrió,7,27,11,VERB
venía,7,27,14,VERB
volver,12,27,18,VERB
levantó,18,27,4,VERB
decía,14,27,12,VERB
militar,1,26,,ADJ
ramónmartíneze,,26,,ADJ
pasó,10,26,15,VERB
recordó,3,26,3,VERB
sé,1,26,11,VERB
camino,7,26,20,NOUN
dónde,1,26,10,PRON
balcones,,25,,NOUN
presidente,1,25,26,ADJ NOUN
manos,34,25,81,NOUN
alguien,7,25,24,PRON
caras,,25,1,NOUN ADJ
mundo,15,25,1,NOUN ADJ
calor,14,25,5,NOUN
llamó,5,25,1,VERB
mal,10,25,10,ADV
apareció,1,24,9,VERB
echó,2,24,3,VERB
gritos,1,24,5,NOUN
árboles,1,24,5,ADJ NOUN
único,14,24,34,ADJ
casas,2,24,11,NOUN
minutos,1,23,7,PROPN NOUN
miraban,2,23,8,VERB
mirar,10,23,12,VERB
lejos,5,23,25,ADV
delante,9,23,16,ADV
daba,23,23,30,VERB
debajo,6,23,2,ADV
haber,13,23,42,AUX
ramas,3,22,1,NOUN
entrar,11,22,13,VERB
empezó,9,22,12,VERB
sido,25,22,15,AUX
dicho,3,22,6,ADJ
silla,4,21,7,NOUN
reír,1,21,,VERB
quedaba,10,21,20,VERB
mañana,10,21,11,ADV
muerto,2,21,6,ADJ
sino,23,21,107,CCONJ
volvieron,3,21,10,VERB
vieja,3,21,3,ADJ
antoniae,,21,,PROPN
cinco,2,20,6,NUM
pues,5,20,48,SCONJ
buscaba,2,20,10,VERB
hablaba,17,20,13,VERB
cuatro,7,20,5,NUM
balcón,,20,1,NOUN
ningún,11,20,58,DET
puertas,1,20,4,NOUN
haciendo,12,20,21,VERB
dentro,23,20,24,ADV
pasaba,1,20,8,VERB
menos,22,20,60,ADV
sentada,2,20,4,ADJ
venir,1,20,18,VERB
luces,3,20,1,NOUN
cayó,3,19,11,VERB
casi,58,19,34,ADV
sabe,16,19,32,VERB
buscando,4,19,11,VERB
habitación,4,19,14,NOUN
seguían,1,19,3,VERB
avanzó,1,19,5,VERB
frase,4,19,12,NOUN
pasado,1,19,10,ADJ
café,2,19,12,NOUN
quién,7,18,52,PRON
avanzaba,,18,2,VERB
aquellas,5,18,17,DET
esperaban,3,18,1,VERB
mujeres,5,18,11,NOUN
oír,3,18,12,VERB
produjo,3,18,4,VERB
volvía,5,18,11,VERB
olor,4,18,4,NOUN
veo,2,18,2,VERB
oían,,18,1,VERB
hablar,14,18,38,VERB
bien,4,17,93,ADV
querido,8,17,16,ADJ
entonces,33,17,65,ADV
llegaban,1,17,8,VERB
sombrero,1,17,2,NOUN
detuvo,4,17,11,VERB
pensó,7,17,11,VERB
querida,,17,5,ADJ
muchas,8,17,1,DET PRON
inclinó,,17,10,VERB
pies,14,17,10,NOUN
parecían,6,17,10,VERB
última,8,16,22,ADJ
sentó,8,16,4,VERB
entraron,,16,2,VERB
hotel,,16,1,NOUN ADJ
buen,7,16,25,ADJ
salía,4,16,9,VERB
nuevo,18,16,29,ADJ
gran,24,16,44,ADJ
viejo,6,16,15,ADJ
decían,4,16,2,VERB
cruzó,1,16,5,VERB
