,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
si,104,181,319,SCONJ
ahora,54,59,164,ADV
usted,5,51,145,PRON
ser,44,31,140,AUX
padre,13,36,125,NOUN
después,52,81,124,ADV
podía,13,50,119,AUX
cada,20,41,117,DET
sino,23,21,107,CCONJ
siempre,36,74,102,ADV
tan,64,80,99,ADV
bien,4,17,93,ADV
hizo,38,59,93,VERB
sólo,27,71,88,ADV
hacer,27,53,87,VERB
manos,34,25,81,NOUN
san,3,2,78,PROPN
así,40,36,75,ADV
allí,11,46,73,ADV
aunque,45,11,67,SCONJ
dos,34,106,66,NUM
entonces,33,17,65,ADV
quería,36,58,64,VERB
día,20,56,62,NOUN
tiempo,31,55,61,NOUN
volvió,26,98,61,VERB
nunca,41,75,60,ADV
menos,22,20,60,ADV
ningún,11,20,58,DET
quiso,8,15,56,VERB
dar,8,31,56,VERB
aquí,8,42,56,ADV
cómo,20,35,53,PRON
quién,7,18,52,PRON
hacia,43,53,51,ADP
pudo,10,6,51,AUX
puede,19,11,50,AUX
primera,16,32,49,ADJ
pues,5,20,48,SCONJ
hacía,49,40,47,VERB
luego,41,71,46,ADV
aún,5,1,46,ADV
gran,24,16,44,ADJ
aquel,51,1,43,DET
haber,13,23,42,AUX
ver,25,78,42,VERB
dio,28,50,40,VERB
sabía,27,48,39,VERB
hablar,14,18,38,VERB
ninguno,3,6,38,PRON
puso,18,32,37,VERB
capaz,3,7,37,ADJ
juan,,,36,PROPN
parte,6,9,36,NOUN
alguna,16,8,35,DET
parecía,46,58,35,VERB
casi,58,19,34,ADV
único,14,24,34,ADJ
todavía,11,35,33,ADV
mirada,31,7,33,NOUN
caer,8,32,33,VERB
tras,9,9,32,ADP
silencio,5,3,32,NOUN
sabe,16,19,32,VERB
algún,4,6,32,DET
posible,7,6,31,ADJ
dijo,27,68,31,VERB
supo,6,13,30,VERB
jamás,8,,30,ADV
hoy,2,11,30,ADV
ninguna,7,12,30,DET
quiere,12,13,30,VERB
último,1,7,30,NOUN ADJ
buena,4,8,30,ADJ
daba,23,23,30,VERB
hombres,4,5,29,NOUN
alrededor,10,12,29,ADV
aire,24,11,29,NOUN
cuyo,1,2,29,PRON
nuevo,18,16,29,ADJ
momento,5,4,28,NOUN
demasiado,1,4,28,DET ADV
recién,4,1,28,ADV
podría,9,2,28,AUX
únicamente,17,2,27,ADV
gesto,6,2,27,NOUN
juliaacevedor,,,26,ADJ
presidente,1,25,26,ADJ NOUN
vio,9,63,26,VERB
hace,12,15,26,VERB
hicieron,12,14,26,VERB
gobernador,1,,26,NOUN
buen,7,16,25,ADJ
dejó,15,51,25,VERB
quedó,29,51,25,VERB
preciso,1,,25,ADJ
lejos,5,23,25,ADV
dice,7,3,25,VERB
tener,1,8,25,VERB
tales,,1,25,DET
pueden,6,4,25,AUX
podían,4,12,25,AUX
alguien,7,25,24,PRON
caso,1,6,24,NOUN
dentro,23,20,24,ADV
esfuerzo,4,6,24,NOUN
tampoco,11,10,24,ADV
fácil,2,3,24,ADJ
situación,2,3,23,NOUN
palabra,8,14,23,NOUN
atención,8,7,23,NOUN
días,19,78,22,NOUN
mujer,10,1,22,NOUN PROPN
hombre,15,1,22,NOUN PROPN
comenzó,7,,22,VERB
sentía,34,29,22,VERB
mayor,6,2,22,ADJ
grandes,5,13,22,ADJ
asunto,1,,22,NOUN
seguía,14,35,22,VERB
cosas,22,14,22,NOUN
última,8,16,22,ADJ
sintió,18,50,22,VERB
entender,7,8,21,VERB
dinero,7,8,21,NOUN
dedos,8,8,21,NOUN
pie,2,4,21,NOUN
ídolos,,,21,NOUN
haciendo,12,20,21,VERB
deja,4,6,20,VERB
