,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas
si,0.23347629203289424,0.17202632446051208,0.24613762423430094
ojos,0.21102664856819286,0.15301789081846653,0.07793072115255296
tan,0.21102664856819286,0.07603373456818213,0.14660234672262437
olga,0.15584325720102402,,
vez,0.14816764686702905,0.11310018017017093,0.09876368621313643
casi,0.13020793209526793,,
podía,0.12347303905585753,,0.09181936452627527
ahora,0.12122807470938739,,0.12654097296058103
después,0.11673814601644712,0.0769841562502844,0.09567732101897591
aquel,0.11449318166997698,,
hacía,0.11000325297703671,,
casa,0.10775828863056656,0.14826578240795515,0.06635685167445103
tiempo,0.10775828863056656,0.0769841562502844,
parecía,0.1032683599376263,,
mariana,0.10262848644945484,,
aquella,0.10102339559115615,,
aunque,0.10102339559115615,,
madre,0.09877843124468602,,
ser,0.09877843124468602,,0.10802278179561796
hacia,0.09653346689821589,,
miguel,0.09502637634208783,,
cuerpo,0.09428850255174574,,
luego,0.09204353820527561,0.06747993942926164,
manos,0.09204353820527561,,0.06327048648029052
nunca,0.09204353820527561,0.07128162615767075,
así,0.08979857385880548,,0.057869347390509626
mientras,0.08979857385880548,,0.05478298219634911
sol,0.08755360951233533,,
hizo,0.0853086451658652,,0.07175799076423194
voz,0.0853086451658652,0.1264060837196028,
quería,0.08081871647292493,,
siempre,0.08081871647292493,0.07033120447556847,0.07870231245109309
benjamín,0.07982215612735377,,
cara,0.07857375212645479,0.0693807827934662,
dos,0.07632878777998466,0.10074469830284133,
momento,0.07632878777998466,,
sentía,0.07632878777998466,,
aquello,0.07602110107367026,,
román,0.07602110107367026,,
cuenta,0.07408382343351452,,
entonces,0.07408382343351452,,
sentí,0.07227000855607559,,
mirada,0.06959389474057424,,
julio,0.06841899096630323,,
apenas,0.06734893039410411,,
noche,0.06734893039410411,0.12165397530909142,
nadie,0.06510396604763397,,0.053239799599268854
quedó,0.06510396604763397,,
ángela,0.06461793591261972,,
dio,0.06285900170116383,,
isabele,,0.23011614216941498,
juliae,,0.23011614216941498,
franciscorosasefranciscorosaserosas,,0.17540321326200164,
general,,0.15681957754687564,
coronae,,0.1416099336427169,
palabras,,0.12165397530909142,
nicolásmoncadaelásmoncada,,0.11586267298040476,
miró,,0.1140506018522732,
franciscorosaserosas,,0.09977063506645964,
ixtepec,,0.09655222748367062,
hurtadoe,,0.0933338199008816,
volvió,,0.09314132484602311,
matildee,,0.0917246161094871,
joven,,0.089339638117614,
puerta,,0.089339638117614,
juanmoncadaecariño,,0.08367859715251455,
frente,,0.07983542129659124,
elviramontúfaremontúfar,,0.07885098577833101,
luchie,,0.07885098577833101,
día,,0.0769841562502844,
mujeres,,0.0769841562502844,0.059412529987589884
señora,,0.07587813960137917,
soldados,,0.07465429864006659,
días,,0.07413289120397758,
ver,,0.07413289120397758,
cuarto,,0.07128162615767075,
salió,,0.07128162615767075,
joaquíne,,0.07080496682135845,
hotel,,0.06853509383350377,
sólo,,0.06747993942926164,0.0679000342715313
hombre,,0.06652951774715937,0.05632616479342937
conchita,,0.06597735544717492,
calle,,0.06557909606505709,
hombres,,0.06557909606505709,
luz,,0.06557909606505709,
dijo,,0.06462867438295482,
catalinadíazpuiljár,,,0.288718296598585
ulloar,,,0.23254233843686933
laalazanar,,,0.2194781621201913
idolina,,,0.1972690623818386
winiktónr,,,0.19073697422349958
manuelmandujanor,,,0.14239952185179078
leonardocifuentesr,,,0.14109310422012297
isabelzebadúar,,,0.1254160926401093
indios,,,0.12419553529873915
ciudad,,,0.12113983387080014
iba,,,0.1172818773780995
usted,,,0.11188073828831861
marcelagómezosor,,,0.10712624579676004
padre,,,0.0979920949145963
xawr,,,0.09275565184841418
cada,,,0.09027618192919501
césarcésarsantiagor,,,0.08622356369007515
sino,,,0.08256026894379373
teresateresaentzínr,,,0.07969147553173613
sido,,,0.07407276465985232
tal,,,0.07252958206277206
bien,,,0.07175799076423194
mujer,,,0.0679000342715313
hacer,,,0.06712844297299117
real,,,0.06656880692012418
don,,,0.06481366907737078
domingodíazpuiljár,,,0.061401628688386854
san,,,0.06018412128613001
va,,,0.059412529987589884
allí,,,0.05632616479342937
ilol,,,0.05617595816171563
gente,,,0.05401139089780898
