,Palabra,Tipo,Frecuencia
1,primera,ADJ,23
2045,tonta,ADJ,22
569,sola,ADJ,17
593,bueno,ADJ,17
821,fuerte,ADJ,14
562,posible,ADJ,14
1844,cierto,ADJ,14
914,fácil,ADJ,13
1701,feo,ADJ,13
874,embarazada,ADJ,13
2002,bonito,ADJ,12
1183,buena,ADJ,12
431,capaz,ADJ,11
1431,normal,ADJ,10
231,juntos,ADJ,10
483,viva,ADJ,8
223,nuevo,ADJ,8
74,triste,ADJ,8
457,único,ADJ,7
2678,malo,ADJ,7
1006,dormido,ADJ,7
1464,callada,ADJ,7
1039,feliz,ADJ,6
1024,rápido,ADJ,6
841,blanco,ADJ,6
1673,encabronó,ADJ,6
1681,vieja,ADJ,6
1479,profundo,ADJ,6
3472,contenta,ADJ,6
826,imbécil,ADJ,6
1732,bonita,ADJ,6
1296,nueva,ADJ,6
53,última,ADJ,6
1571,claro,ADJ,5
2161,pura,ADJ,5
