,Palabra,Tipo,Frecuencia
451,juanmoncadae,ADJ,65
274,junto,ADJ,40
1,primera,ADJ,34
430,baja,ADJ,29
764,vieja,ADJ,29
1133,único,ADJ,24
409,viejo,ADJ,23
566,triste,ADJ,21
1813,sentada,ADJ,21
823,sola,ADJ,21
328,inmóvil,ADJ,21
1243,nuevo,ADJ,20
1237,inmóviles,ADJ,20
1538,bueno,ADJ,20
973,única,ADJ,18
1295,cierto,ADJ,18
8,sentado,ADJ,18
1485,sonriente,ADJ,17
1766,elvirae,ADJ,17
1047,desconocido,ADJ,17
3264,gran,ADJ,16
2443,buen,ADJ,16
1464,última,ADJ,16
414,alta,ADJ,15
3618,pálido,ADJ,15
1335,caliente,ADJ,14
627,invisible,ADJ,14
668,tristes,ADJ,14
324,lleno,ADJ,14
465,mala,ADJ,14
3073,buenos,ADJ,13
710,seguido,ADJ,13
2826,asustada,ADJ,13
2587,grandes,ADJ,13
4690,quieta,ADJ,13
