,Palabra,Tipo,Frecuencia
34,único,ADJ,31
1161,junto,ADJ,30
720,nuevo,ADJ,26
206,sola,ADJ,25
1999,bueno,ADJ,20
2893,primera,ADJ,20
395,grande,ADJ,17
3275,única,ADJ,16
9229,abuelof,ADJ,15
2074,pura,ADJ,15
1871,cierto,ADJ,15
1838,posible,ADJ,14
2824,juntos,ADJ,14
802,capaz,ADJ,14
440,siguiente,ADJ,14
1268,metida,ADJ,12
139,peor,ADJ,12
3402,abierta,ADJ,12
2000,mayor,ADJ,11
1108,buena,ADJ,11
1727,horrible,ADJ,11
3001,llena,ADJ,10
4602,enorme,ADJ,10
3390,chingados,ADJ,10
374,viejo,ADJ,10
800,fuerte,ADJ,10
1274,cerrada,ADJ,10
1186,mero,ADJ,10
4916,primer,ADJ,10
1477,nueva,ADJ,9
4195,entero,ADJ,9
189,negras,ADJ,9
3629,normal,ADJ,9
1456,fea,ADJ,9
7063,asqueroso,ADJ,9
