,Palabra,Tipo,Frecuencia
1775,mamá,NOUN,107
168,casa,NOUN,93
165,cómo,PRON,88
54,vez,NOUN,75
52,hijo,NOUN,74
149,veces,NOUN,58
446,hija,NOUN,53
167,día,NOUN,53
559,vida,NOUN,52
1288,cosas,NOUN,49
229,tiempo,NOUN,49
2214,hermano,NOUN,44
291,cara,NOUN,42
803,dónde,PRON,42
2070,dinero,NOUN,42
156,quién,PRON,41
201,lado,NOUN,41
325,miedo,NOUN,40
288,mano,NOUN,40
352,ojos,NOUN,39
1827,nadie,PRON,37
42,días,NOUN,34
657,familia,NOUN,34
1453,niño,NOUN,30
1863,paletas,NOUN,29
171,alguien,PRON,28
1153,cabeza,NOUN,28
812,boca,NOUN,27
1044,puerta,NOUN,27
145,gente,NOUN,26
1182,padre,NOUN,26
139,cuerpo,NOUN,25
631,manos,NOUN,23
835,hijos,NOUN,23
63,parque,NOUN,21
