,Palabra,Tipo,Frecuencia
873,vez,NOUN,133
56,casa,NOUN,118
409,madre,NOUN,89
27,vida,NOUN,74
313,tiempo,NOUN,71
518,día,NOUN,64
2754,hija,NOUN,61
582,momento,NOUN,61
260,veces,NOUN,60
131,cómo,PRON,56
22,niño,NOUN,51
1899,doctora,NOUN,51
324,noche,NOUN,51
201,años,NOUN,50
7,par,NOUN,50
962,días,NOUN,48
232,meses,NOUN,47
1927,niña,NOUN,47
14,departamento,NOUN,46
646,cabeza,NOUN,46
256,hijos,NOUN,46
212,hijo,NOUN,45
1165,voz,NOUN,44
145,niños,NOUN,43
964,nadie,PRON,42
1003,lugar,NOUN,41
373,cosas,NOUN,39
20,mujer,NOUN,38
76,puerta,NOUN,38
333,cuerpo,NOUN,37
344,horas,NOUN,37
170,bebé,NOUN,37
721,fin,NOUN,36
653,ojos,NOUN,35
668,cama,NOUN,35
