,Palabra,Tipo,Frecuencia
1652,usted,PRON,191
256,indios,NOUN,169
412,ciudad,NOUN,167
64,vez,NOUN,164
530,padre,NOUN,149
1738,quién,PRON,132
1415,casa,NOUN,131
599,mujer,NOUN,127
86,ojos,NOUN,126
234,cómo,PRON,113
257,manos,NOUN,105
172,hombre,NOUN,103
538,mujeres,NOUN,100
1730,nadie,PRON,100
588,gente,NOUN,92
2215,tiempo,NOUN,92
1319,palabras,NOUN,84
84,hombres,NOUN,82
2276,fin,NOUN,81
81,día,NOUN,74
1316,voz,NOUN,70
265,noche,NOUN,68
805,ilol,NOUN,68
660,años,NOUN,68
330,pie,NOUN,61
9632,ingeniero,NOUN,60
5207,fernandoulloar,NOUN,60
543,rostro,NOUN,59
866,miedo,NOUN,58
386,mano,NOUN,57
705,nombre,NOUN,56
828,momento,NOUN,55
9487,cueva,NOUN,54
300,indio,NOUN,53
645,gesto,NOUN,53
