,Palabra,Tipo,Frecuencia
221,vez,NOUN,188
513,cómo,PRON,124
285,dinero,NOUN,110
483,abuela,NOUN,108
21,ojos,NOUN,100
243,nadie,PRON,93
686,verga,NOUN,89
439,día,NOUN,86
504,quién,PRON,80
619,noche,NOUN,80
240,pueblo,NOUN,79
925,verdad,NOUN,78
450,años,NOUN,69
217,tiempo,NOUN,67
2763,cama,NOUN,60
1235,puerta,NOUN,60
95,manos,NOUN,59
2843,momento,NOUN,55
183,carretera,NOUN,54
3173,camioneta,NOUN,54
1637,cabeza,NOUN,53
143,cara,NOUN,51
923,vida,NOUN,51
631,cosas,NOUN,50
595,cosa,NOUN,48
988,dónde,PRON,47
1069,veces,NOUN,46
313,cocina,NOUN,45
510,mujer,NOUN,45
1147,mano,NOUN,44
164,cuerpo,NOUN,42
248,casa,NOUN,42
1860,boca,NOUN,41
239,gente,NOUN,41
2509,mierda,NOUN,40
