La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Casas Vacias,La Hija Unica,Temporada de Huracanes
ojos,ojos,usted,mamá,vez,vez
vez,noche,indios,casa,casa,cómo
cuerpo,palabras,ciudad,cómo,madre,dinero
tiempo,voz,vez,vez,vida,abuela
noche,vez,padre,hijo,tiempo,ojos
manos,puerta,quién,veces,día,nadie
sol,calle,casa,hija,hija,verga
voz,señora,mujer,día,momento,día
cara,tiempo,ojos,vida,veces,quién
cabeza,mujeres,cómo,cosas,cómo,noche
momento,hombre,manos,tiempo,niño,pueblo
mano,días,hombre,hermano,doctora,verdad
vida,silencio,mujeres,cara,noche,años
años,día,nadie,dónde,años,tiempo
luz,hotel,gente,dinero,par,cama
amor,hombres,tiempo,quién,días,puerta
mirada,nadie,palabras,lado,meses,manos
cosas,cama,hombres,miedo,niña,momento
padre,soldados,fin,mano,departamento,carretera
palabras,cara,día,ojos,cabeza,camioneta
muerte,luz,voz,nadie,hijos,cabeza
lado,mujer,noche,días,hijo,cara
cómo,miedo,ilol,familia,voz,vida
día,pueblo,años,niño,niños,cosas
puerta,madre,pie,paletas,nadie,cosa
mar,usted,ingeniero,alguien,lugar,dónde
ángelai,mundo,fernandoulloar,cabeza,cosas,veces
manera,cuerpo,rostro,boca,mujer,cocina
aquello,memoria,miedo,puerta,puerta,mujer
aire,cariño,mano,gente,cuerpo,mano
silencio,mano,nombre,padre,horas,cuerpo
paso,fiesta,momento,cuerpo,bebé,casa
boca,cómo,cueva,manos,fin,boca
días,calles,indio,hijos,ojos,gente
dolor,habitación,gesto,parque,cama,mierda
